m,Learning Rate,Depth,Hidden Units,Train Loss,Test Loss,Train Misc,Test Misc
1600,4.0000,1,256,0.0045,0.0057,0.0381,0.0497
1600,4.0000,2,256,0.0037,0.0052,0.0337,0.0571
1600,1.0000,2,256,0.0053,0.0078,0.0400,0.0613
800,4.0000,1,256,0.0029,0.0075,0.0162,0.0645
1600,4.0000,2,64,0.0060,0.0065,0.0569,0.0645
800,4.0000,1,64,0.0040,0.0073,0.0238,0.0666
800,16.0000,1,256,0.0024,0.0068,0.0238,0.0677
1600,4.0000,1,64,0.0053,0.0070,0.0444,0.0677
1600,16.0000,1,64,0.0051,0.0064,0.0525,0.0687
1600,1.0000,4,256,0.0055,0.0065,0.0581,0.0708
800,1.0000,2,256,0.0033,0.0089,0.0225,0.0729
800,1.0000,4,256,0.0038,0.0073,0.0325,0.0729
1600,1.0000,3,256,0.0064,0.0076,0.0625,0.0740
800,1.0000,3,256,0.0033,0.0075,0.0212,0.0782
1600,1.0000,1,256,0.0068,0.0093,0.0494,0.0846
1600,16.0000,1,256,0.0060,0.0076,0.0669,0.0846
800,4.0000,2,256,0.0032,0.0076,0.0312,0.0867
800,0.2500,4,256,0.0060,0.0097,0.0425,0.0930
800,4.0000,2,64,0.0069,0.0092,0.0587,0.0930
1600,16.0000,1,16,0.0076,0.0085,0.0769,0.0962
1600,4.0000,3,64,0.0087,0.0092,0.0869,0.0983
400,4.0000,2,256,0.0036,0.0094,0.0250,0.0994
800,16.0000,1,64,0.0063,0.0090,0.0650,0.0994
1600,16.0000,2,64,0.0072,0.0085,0.0856,0.0994
400,1.0000,3,256,0.0013,0.0094,0.0025,0.1004
1600,0.2500,3,256,0.0089,0.0105,0.0894,0.1004
800,4.0000,3,64,0.0084,0.0098,0.0825,0.1015
400,1.0000,2,256,0.0018,0.0100,0.0025,0.1036
400,1.0000,4,256,0.0023,0.0084,0.0150,0.1036
800,16.0000,1,16,0.0071,0.0101,0.0650,0.1036
1600,0.2500,4,256,0.0086,0.0100,0.0719,0.1036
400,0.2500,4,256,0.0033,0.0099,0.0125,0.1047
400,4.0000,1,256,0.0013,0.0096,0.0000,0.1057
400,16.0000,1,64,0.0018,0.0090,0.0025,0.1099
800,0.2500,3,256,0.0080,0.0123,0.0650,0.1110
1600,4.0000,4,64,0.0093,0.0096,0.1069,0.1110
1600,1.0000,1,64,0.0111,0.0126,0.0888,0.1121
400,4.0000,1,64,0.0043,0.0105,0.0200,0.1131
800,1.0000,1,256,0.0042,0.0118,0.0212,0.1131
400,4.0000,2,64,0.0059,0.0110,0.0475,0.1152
1600,1.0000,3,64,0.0153,0.0152,0.1112,0.1184
400,0.2500,3,256,0.0074,0.0141,0.0525,0.1226
400,4.0000,3,64,0.0057,0.0112,0.0400,0.1237
1600,1.0000,2,64,0.0140,0.0147,0.1062,0.1247
800,1.0000,2,64,0.0125,0.0148,0.0925,0.1258
400,1.0000,1,64,0.0082,0.0140,0.0475,0.1268
1600,0.2500,2,256,0.0118,0.0131,0.1025,0.1268
800,4.0000,3,256,0.0052,0.0099,0.0550,0.1300
400,1.0000,1,256,0.0029,0.0134,0.0125,0.1321
800,1.0000,1,64,0.0106,0.0140,0.0775,0.1321
1600,1.0000,4,64,0.0156,0.0162,0.1131,0.1321
800,1.0000,3,64,0.0142,0.0165,0.1012,0.1364
400,1.0000,2,64,0.0109,0.0153,0.0700,0.1416
800,0.2500,2,256,0.0105,0.0142,0.1000,0.1416
200,1.0000,4,256,0.0005,0.0119,0.0000,0.1427
200,4.0000,1,256,0.0008,0.0130,0.0000,0.1501
800,1.0000,4,64,0.0175,0.0186,0.1350,0.1522
200,0.2500,3,256,0.0038,0.0157,0.0200,0.1596
200,1.0000,3,256,0.0002,0.0138,0.0000,0.1638
200,4.0000,1,64,0.0016,0.0138,0.0000,0.1649
200,4.0000,2,256,0.0003,0.0129,0.0000,0.1649
200,1.0000,2,64,0.0083,0.0176,0.0200,0.1702
200,1.0000,2,256,0.0006,0.0156,0.0000,0.1723
1600,4.0000,3,256,0.0100,0.0126,0.1269,0.1734
400,1.0000,3,64,0.0162,0.0200,0.1025,0.1797
400,16.0000,1,16,0.0088,0.0148,0.0825,0.1808
800,4.0000,1,16,0.0147,0.0163,0.1362,0.1808
400,0.2500,2,256,0.0082,0.0168,0.0625,0.1829
200,4.0000,2,64,0.0012,0.0144,0.0000,0.1839
1600,0.2500,1,256,0.0174,0.0182,0.1713,0.1839
400,1.0000,4,64,0.0146,0.0182,0.1075,0.1860
200,16.0000,1,64,0.0017,0.0152,0.0000,0.1871
400,4.0000,1,16,0.0109,0.0156,0.0875,0.1871
800,0.2500,1,256,0.0139,0.0184,0.1200,0.1892
200,0.2500,4,256,0.0036,0.0162,0.0100,0.1903
200,1.0000,1,64,0.0062,0.0184,0.0200,0.1924
400,4.0000,4,64,0.0122,0.0150,0.1575,0.1956
200,4.0000,3,64,0.0029,0.0151,0.0100,0.1977
200,16.0000,1,16,0.0050,0.0157,0.0500,0.1998
200,16.0000,1,256,0.0004,0.0161,0.0000,0.2051
200,4.0000,4,64,0.0017,0.0147,0.0100,0.2051
400,0.2500,1,256,0.0128,0.0195,0.0925,0.2093
200,0.2500,2,256,0.0034,0.0190,0.0050,0.2146
100,4.0000,2,256,0.0002,0.0177,0.0000,0.2220
200,1.0000,3,64,0.0137,0.0216,0.0650,0.2241
1600,4.0000,1,16,0.0191,0.0195,0.2238,0.2262
200,1.0000,4,64,0.0110,0.0197,0.0750,0.2294
800,16.0000,2,64,0.0129,0.0164,0.1787,0.2315
100,4.0000,1,64,0.0007,0.0196,0.0000,0.2357
200,1.0000,1,256,0.0006,0.0196,0.0000,0.2378
100,4.0000,1,256,0.0002,0.0192,0.0000,0.2410
100,16.0000,1,64,0.0001,0.0193,0.0000,0.2474
1600,16.0000,2,16,0.0178,0.0182,0.2400,0.2558
800,1.0000,1,16,0.0260,0.0269,0.2700,0.2558
100,1.0000,2,256,0.0001,0.0206,0.0000,0.2569
400,16.0000,2,16,0.0158,0.0191,0.2050,0.2579
1600,0.2500,1,64,0.0222,0.0239,0.2294,0.2590
100,1.0000,4,256,0.0008,0.0197,0.0100,0.2600
1600,4.0000,2,16,0.0249,0.0249,0.2538,0.2611
800,0.2500,2,64,0.0232,0.0251,0.2400,0.2643
100,1.0000,3,256,0.0002,0.0198,0.0000,0.2664
100,0.2500,4,256,0.0008,0.0212,0.0000,0.2674
400,16.0000,2,64,0.0094,0.0177,0.1300,0.2696
800,16.0000,2,16,0.0182,0.0206,0.2488,0.2706
800,0.0625,3,256,0.0194,0.0224,0.2050,0.2738
200,0.2500,1,256,0.0076,0.0237,0.0450,0.2759
200,4.0000,1,16,0.0140,0.0228,0.1100,0.2759
100,1.0000,1,256,0.0002,0.0240,0.0000,0.2801
100,4.0000,2,64,0.0024,0.0208,0.0000,0.2801
800,4.0000,2,16,0.0239,0.0254,0.2625,0.2833
1600,0.2500,3,64,0.0304,0.0303,0.2887,0.2833
100,1.0000,2,64,0.0065,0.0235,0.0100,0.2918
100,1.0000,1,64,0.0045,0.0239,0.0000,0.2939
800,4.0000,4,64,0.0187,0.0202,0.2788,0.2970
100,0.2500,3,256,0.0026,0.0224,0.0000,0.2981
1600,0.0625,3,256,0.0234,0.0248,0.2794,0.2981
400,0.2500,2,64,0.0251,0.0276,0.2300,0.3055
400,0.2500,1,64,0.0218,0.0263,0.2225,0.3076
800,0.0625,4,256,0.0223,0.0254,0.2500,0.3076
100,4.0000,3,64,0.0033,0.0203,0.0000,0.3129
1600,0.0625,4,256,0.0258,0.0266,0.3213,0.3192
400,0.0625,3,256,0.0183,0.0251,0.2075,0.3224
800,0.2500,1,64,0.0247,0.0269,0.2562,0.3235
200,0.0625,4,256,0.0130,0.0251,0.1100,0.3266
1600,1.0000,1,16,0.0292,0.0299,0.3363,0.3404
200,0.2500,3,64,0.0287,0.0329,0.2050,0.3414
200,4.0000,3,256,0.0080,0.0238,0.0950,0.3436
100,0.2500,2,256,0.0019,0.0268,0.0000,0.3446
100,16.0000,1,256,0.0012,0.0263,0.0000,0.3446
100,1.0000,4,64,0.0100,0.0251,0.0300,0.3446
100,1.0000,3,64,0.0098,0.0254,0.1000,0.3446
100,4.0000,1,16,0.0080,0.0250,0.0400,0.3457
200,0.2500,2,64,0.0216,0.0285,0.1750,0.3457
800,4.0000,3,16,0.0282,0.0286,0.3363,0.3457
400,4.0000,2,16,0.0228,0.0263,0.2725,0.3488
100,0.2500,1,256,0.0029,0.0290,0.0000,0.3510
200,0.2500,1,64,0.0198,0.0294,0.1400,0.3520
100,0.0625,4,256,0.0093,0.0266,0.0600,0.3541
400,4.0000,3,16,0.0257,0.0297,0.2450,0.3541
100,16.0000,1,16,0.0020,0.0238,0.0200,0.3573
100,16.0000,2,256,0.0102,0.0263,0.1200,0.3594
100,4.0000,4,64,0.0062,0.0243,0.0400,0.3605
200,0.0625,3,256,0.0151,0.0282,0.1300,0.3615
40,1.0000,3,64,0.0047,0.0286,0.0000,0.3679
1600,0.2500,2,64,0.0306,0.0308,0.3375,0.3700
40,4.0000,1,256,0.0000,0.0291,0.0000,0.3721
400,1.0000,1,16,0.0305,0.0323,0.3300,0.3805
1600,0.0625,2,256,0.0282,0.0297,0.3638,0.3805
100,4.0000,2,16,0.0179,0.0290,0.1900,0.3816
400,0.0625,2,256,0.0238,0.0305,0.2700,0.3816
200,16.0000,2,64,0.0151,0.0271,0.2100,0.3827
40,4.0000,2,64,0.0004,0.0275,0.0000,0.3837
100,0.2500,3,64,0.0213,0.0303,0.1700,0.3858
800,0.0625,2,256,0.0270,0.0304,0.3338,0.3869
40,1.0000,4,256,0.0001,0.0296,0.0000,0.3890
400,0.2500,4,64,0.0316,0.0341,0.2900,0.3901
40,1.0000,2,64,0.0031,0.0282,0.0000,0.3932
100,16.0000,3,16,0.0158,0.0262,0.1600,0.3932
400,0.2500,3,64,0.0311,0.0330,0.3250,0.3964
200,4.0000,2,16,0.0222,0.0293,0.2300,0.4006
40,4.0000,1,64,0.0001,0.0274,0.0000,0.4049
1600,0.2500,4,64,0.0357,0.0353,0.3888,0.4080
100,0.2500,2,64,0.0205,0.0312,0.1000,0.4123
100,0.2500,4,64,0.0232,0.0321,0.1500,0.4123
200,0.0625,2,256,0.0196,0.0316,0.2350,0.4165
1600,4.0000,3,16,0.0286,0.0291,0.3850,0.4175
40,16.0000,1,64,0.0002,0.0288,0.0000,0.4197
40,1.0000,3,256,0.0001,0.0298,0.0000,0.4207
40,4.0000,4,64,0.0004,0.0278,0.0000,0.4218
800,0.2500,3,64,0.0333,0.0347,0.3575,0.4271
40,0.2500,3,256,0.0003,0.0321,0.0000,0.4323
200,1.0000,1,16,0.0287,0.0326,0.3250,0.4355
40,1.0000,1,64,0.0014,0.0328,0.0000,0.4408
800,16.0000,3,64,0.0299,0.0307,0.4100,0.4408
100,0.2500,1,64,0.0138,0.0308,0.1000,0.4450
200,16.0000,2,16,0.0173,0.0279,0.2500,0.4450
100,0.0625,3,256,0.0115,0.0313,0.0900,0.4461
40,1.0000,2,256,0.0000,0.0342,0.0000,0.4493
200,16.0000,2,256,0.0171,0.0294,0.2000,0.4493
40,0.2500,1,256,0.0009,0.0357,0.0000,0.4535
40,0.2500,4,256,0.0004,0.0325,0.0000,0.4545
40,16.0000,1,256,0.0000,0.0326,0.0000,0.4598
100,4.0000,3,256,0.0008,0.0334,0.0000,0.4641
1600,4.0000,4,16,0.0351,0.0358,0.4319,0.4641
200,4.0000,3,16,0.0297,0.0324,0.3950,0.4651
40,4.0000,3,64,0.0005,0.0302,0.0000,0.4704
40,1.0000,1,256,0.0001,0.0351,0.0000,0.4715
40,4.0000,2,256,0.0002,0.0349,0.0000,0.4736
40,1.0000,4,64,0.0063,0.0311,0.0250,0.4767
40,0.2500,2,256,0.0006,0.0338,0.0000,0.4810
40,4.0000,1,16,0.0026,0.0320,0.0000,0.4810
400,0.0625,4,256,0.0309,0.0335,0.3825,0.4831
100,1.0000,2,16,0.0329,0.0371,0.3500,0.4852
100,1.0000,1,16,0.0300,0.0361,0.2700,0.4863
400,1.0000,2,16,0.0374,0.0383,0.4025,0.4863
1600,0.0625,1,256,0.0366,0.0379,0.4762,0.4884
100,4.0000,3,16,0.0213,0.0311,0.2500,0.4894
400,0.0625,1,256,0.0342,0.0382,0.4475,0.4905
800,1.0000,2,16,0.0347,0.0354,0.4288,0.4979
100,16.0000,2,16,0.0094,0.0320,0.1200,0.5032
40,16.0000,1,16,0.0008,0.0342,0.0000,0.5053
40,0.2500,2,64,0.0150,0.0346,0.0250,0.5106
40,0.0625,3,256,0.0078,0.0350,0.0250,0.5127
100,0.0625,2,256,0.0172,0.0379,0.1700,0.5169
100,16.0000,2,64,0.0065,0.0381,0.0600,0.5211
40,0.0625,4,256,0.0066,0.0355,0.0000,0.5243
800,0.2500,4,64,0.0395,0.0400,0.5000,0.5264
40,1.0000,1,16,0.0209,0.0366,0.1000,0.5317
200,1.0000,2,16,0.0366,0.0385,0.4250,0.5349
1600,1.0000,2,16,0.0402,0.0403,0.5262,0.5455
40,4.0000,3,256,0.0000,0.0344,0.0000,0.5476
200,0.0625,1,256,0.0261,0.0411,0.3300,0.5497
10,4.0000,2,64,0.0000,0.0373,0.0000,0.5550
200,0.2500,4,64,0.0369,0.0389,0.4450,0.5550
800,0.0625,1,256,0.0377,0.0423,0.5000,0.5666
40,0.2500,4,64,0.0244,0.0358,0.2000,0.5677
100,0.0625,1,256,0.0253,0.0443,0.3100,0.5751
10,1.0000,1,64,0.0002,0.0409,0.0000,0.5814
10,4.0000,4,16,0.0131,0.0412,0.1000,0.5814
40,16.0000,2,64,0.0052,0.0415,0.0750,0.5846
40,0.2500,3,64,0.0232,0.0370,0.1500,0.5856
400,4.0000,4,16,0.0381,0.0386,0.6000,0.5856
40,4.0000,2,16,0.0160,0.0365,0.1000,0.5941
400,16.0000,3,16,0.0353,0.0366,0.4975,0.5951
200,16.0000,3,16,0.0329,0.0376,0.5000,0.5962
10,4.0000,1,64,0.0000,0.0383,0.0000,0.5983
10,4.0000,1,256,0.0000,0.0386,0.0000,0.5983
1600,4.0000,4,256,0.0360,0.0354,0.5856,0.5983
10,1.0000,4,256,0.0000,0.0444,0.0000,0.6025
40,16.0000,2,16,0.0135,0.0415,0.1000,0.6025
40,1.0000,2,16,0.0276,0.0372,0.2500,0.6036
400,0.0625,2,64,0.0384,0.0386,0.5425,0.6057
200,4.0000,4,16,0.0340,0.0366,0.5350,0.6089
10,0.2500,3,256,0.0000,0.0399,0.0000,0.6110
800,0.2500,1,16,0.0402,0.0407,0.5913,0.6163
10,1.0000,1,256,0.0000,0.0452,0.0000,0.6173
100,1.0000,3,16,0.0400,0.0415,0.5300,0.6173
400,0.2500,1,16,0.0394,0.0402,0.5925,0.6205
200,0.2500,1,16,0.0373,0.0398,0.5050,0.6216
10,0.2500,4,256,0.0000,0.0387,0.0000,0.6226
10,4.0000,2,256,0.0000,0.0412,0.0000,0.6247
40,0.2500,1,64,0.0096,0.0407,0.0250,0.6247
800,16.0000,4,16,0.0390,0.0385,0.6387,0.6247
10,0.2500,2,64,0.0052,0.0404,0.0000,0.6258
10,1.0000,3,256,0.0000,0.0417,0.0000,0.6268
10,16.0000,3,16,0.0062,0.0469,0.1000,0.6268
800,1.0000,3,16,0.0424,0.0426,0.5938,0.6268
800,4.0000,4,256,0.0388,0.0400,0.6013,0.6279
10,16.0000,1,64,0.0000,0.0458,0.0000,0.6321
40,4.0000,3,16,0.0192,0.0370,0.1250,0.6364
10,1.0000,1,16,0.0047,0.0415,0.0000,0.6374
100,4.0000,4,16,0.0344,0.0394,0.5400,0.6406
40,16.0000,2,256,0.0007,0.0419,0.0000,0.6416
10,0.0625,4,256,0.0004,0.0422,0.0000,0.6438
10,1.0000,2,256,0.0000,0.0423,0.0000,0.6469
40,0.0625,1,256,0.0149,0.0551,0.1250,0.6469
100,0.0625,3,64,0.0380,0.0409,0.4900,0.6469
10,4.0000,4,64,0.0000,0.0471,0.0000,0.6490
